,city_name,latitude,longitude,max_temp,humidity,cloudiness,wind_speed,country,date
172,Touros,-5.2,-35.46,73.4,73,43,9.17,BR,1596671019
173,Hofn,64.25,-15.21,51.67,87,96,3.74,IS,1596671019
174,Sibolga,1.74,98.78,77.32,72,100,3.06,ID,1596671020
175,Copiapó,-27.37,-70.33,55.4,87,0,5.82,CL,1596671020
176,Plainview,40.78,-73.47,84.2,51,1,10.29,US,1596671020
177,Clarence Town,-32.58,151.78,53.01,61,20,20.8,AU,1596671020
178,Dikson,73.51,80.55,46.38,94,40,19.33,RU,1596671021
179,Coquimbo,-29.95,-71.34,55.4,93,100,8.05,CL,1596671021
180,Boffa,10.17,-14.03,74.48,88,71,5.77,GN,1596671021
181,Deputatsky,69.3,139.9,61.74,53,49,19.39,RU,1596671021
182,Malinovoye Ozero,51.68,79.78,62.51,71,0,7.81,RU,1596671022
183,Dingle,11.0,122.67,80.33,84,100,3.62,PH,1596671022
184,Salalah,17.02,54.09,80.6,83,75,8.05,OM,1596671022
185,Verkhoyansk,67.54,133.38,74.66,29,32,6.44,RU,1596671023
186,Korla,41.76,86.15,82.13,21,68,12.73,CN,1596671023
187,Wasilla,61.58,-149.44,69.8,52,1,4.7,US,1596670899
188,Dokka,60.84,10.06,53.01,98,94,1.05,NO,1596671024
189,Coxim,-18.51,-54.76,75.47,26,0,4.88,BR,1596671024
190,Morón,-34.65,-58.62,73.0,61,82,8.23,AR,1596671024
191,Sur,22.57,59.53,88.5,51,42,4.83,OM,1596671024
192,Ponta Delgada,37.73,-25.67,71.6,83,40,8.05,PT,1596671025
193,San Andrés,12.58,-81.7,82.4,78,75,4.7,CO,1596670990
194,Gizo Government Station,-8.1,156.84,83.77,73,8,5.93,SB,1596671025
195,Leningradskiy,69.38,178.42,38.05,86,100,12.8,RU,1596671025
196,Hobyo,5.35,48.53,76.62,77,40,23.64,SO,1596671025
197,Lincoln,40.8,-96.67,80.01,54,20,13.87,US,1596670856
198,Puerto Baquerizo Moreno,-0.9,-89.6,65.95,91,50,10.02,EC,1596671026
199,Yellowknife,62.46,-114.35,66.2,68,40,16.11,CA,1596670879
200,Mahébourg,-20.41,57.7,66.2,72,75,9.17,MU,1596671026
201,Vanavara,60.34,102.28,65.1,69,57,4.99,RU,1596671027
202,Guerrero Negro,27.98,-114.06,74.89,63,3,17.07,MX,1596671027
203,Batagay-Alyta,67.8,130.41,70.9,37,23,4.61,RU,1596671027
204,Imbituba,-28.24,-48.67,66.2,82,0,12.75,BR,1596671027
205,Beloha,-25.17,45.05,60.3,92,1,3.94,MG,1596671028
206,Aksarka,66.56,67.8,57.69,70,49,6.85,RU,1596671028
207,Nikolskoye,59.7,30.79,59.0,72,95,2.24,RU,1596671028
208,Ancud,-41.87,-73.82,44.01,87,90,4.7,CL,1596671029
209,Belmonte,-15.86,-38.88,73.4,69,40,9.17,BR,1596671032
210,Kaliua,-5.06,31.79,72.09,42,53,3.94,TZ,1596671033
211,Srednekolymsk,67.45,153.68,69.13,33,23,14.97,RU,1596671034
212,Bairiki Village,1.33,172.98,87.8,66,20,13.87,KI,1596671034
213,Daru,-9.08,143.21,79.9,82,48,14.14,PG,1596671034
214,Brae,60.4,-1.35,55.4,100,73,4.7,GB,1596671034
215,Caudry,50.12,3.41,63.0,69,1,1.01,FR,1596671035
216,Buraidah,26.33,43.98,82.4,30,4,6.93,SA,1596671035
217,Bima,-8.47,118.72,76.69,74,40,5.75,ID,1596671035
218,São Filipe,14.9,-24.5,77.76,82,24,5.91,CV,1596671035
219,Esmeraldas,-19.76,-44.31,64.4,55,0,9.17,BR,1596671036
220,Woodward,36.43,-99.39,89.6,45,1,10.29,US,1596671036
221,Konstanz,47.66,9.18,57.0,87,0,3.36,DE,1596671036
222,Colorado Springs,38.83,-104.82,71.6,60,75,7.38,US,1596670996
223,Buta,2.79,24.73,69.66,98,100,1.72,CD,1596671039
224,Changji,44.02,87.32,75.2,47,83,6.71,CN,1596671039
225,East London,-33.02,27.91,59.02,83,99,12.55,ZA,1596671039
226,Tasiilaq,65.61,-37.64,42.8,87,100,6.93,GL,1596671039
227,Delano,35.77,-119.25,95.0,18,1,5.82,US,1596670769
228,Canmore,51.08,-115.35,82.4,32,1,11.41,CA,1596671040
229,Atessa,42.07,14.45,64.99,77,29,7.0,IT,1596671040
230,Innisfail,-17.53,146.03,63.0,97,6,1.01,AU,1596671041
231,Tārānagar,28.67,75.04,89.74,58,72,12.41,IN,1596671042
232,Port Alfred,-33.59,26.89,56.82,90,100,10.78,ZA,1596671042
233,Puri,19.8,85.85,78.8,100,75,2.24,IN,1596671042
234,Dunedin,-45.87,170.5,46.99,85,90,5.99,NZ,1596671011
235,Kimbe,-5.55,150.14,88.39,59,80,2.46,PG,1596671043
236,Toora-Khem,52.47,96.11,55.74,88,100,4.0,RU,1596671043
237,Okmulgee,35.62,-95.96,84.2,58,1,3.36,US,1596671043
238,Nyurba,63.28,118.33,68.25,57,0,3.47,RU,1596671044
239,Cherskiy,68.75,161.3,48.7,76,100,3.67,RU,1596671044
240,Thinadhoo,0.53,72.93,82.22,75,100,13.29,MV,1596671044
241,Nanortalik,60.14,-45.24,42.94,89,47,8.08,GL,1596671044
242,Kenai,60.55,-151.26,69.8,55,1,8.05,US,1596671045
243,Nadvoitsy,63.87,34.32,53.11,90,33,7.52,RU,1596671045
244,Kargil,34.57,76.1,55.89,55,4,5.06,IN,1596671045
245,Baykit,61.67,96.37,65.44,64,87,3.67,RU,1596671045
246,Klaksvík,62.23,-6.59,50.0,100,27,14.99,FO,1596671046
247,Beni,0.5,29.47,61.18,100,88,0.83,CD,1596671046
248,Gualaquiza,-3.4,-78.55,63.97,77,32,1.57,EC,1596671046
249,Davidson,36.15,-86.78,82.4,51,20,10.29,US,1596671037
250,Labuhan,-6.88,112.21,77.68,80,100,6.08,ID,1596671046
251,Kupang,-10.17,123.58,75.2,83,20,5.82,ID,1596671047
252,Lyngseidet,69.58,20.22,50.0,87,3,6.93,NO,1596671047
253,Srandakan,-7.94,110.25,75.92,83,80,11.43,ID,1596671047
254,Kota Kinabalu,5.97,116.07,81.0,78,20,5.82,MY,1596671047
255,Hervey Bay,-25.3,152.85,66.2,82,0,5.14,AU,1596671047
256,Gigmoto,13.78,124.39,83.23,77,82,6.82,PH,1596671048
257,Mīzan Teferī,6.98,35.58,58.66,87,80,2.84,ET,1596671048
258,San Patricio,19.22,-104.7,89.6,75,75,11.41,MX,1596671048
259,Tikhvin,59.65,33.53,52.79,88,87,2.93,RU,1596671048
260,Chisec,15.82,-90.28,77.47,88,100,2.93,GT,1596671049
261,Crucişor,47.68,23.25,64.4,82,40,1.12,RO,1596671049
262,Chui,-33.7,-53.46,63.66,85,0,9.04,UY,1596671049
263,Hulan,45.98,126.6,69.8,100,75,6.71,CN,1596670849
264,Cap Malheureux,-19.98,57.61,66.2,72,75,9.17,MU,1596671049
265,Xinxiang,35.31,113.87,78.01,73,100,7.72,CN,1596671050
266,Yaroslavskiy,44.17,132.21,71.01,90,100,9.48,RU,1596671050
267,Zhoucheng,35.91,116.31,80.01,45,100,4.18,CN,1596671050
268,Paraíso,9.84,-83.87,68.0,100,75,1.12,CR,1596671050
269,Nara,34.69,135.8,87.01,78,20,2.24,JP,1596671050
270,Antalaha,-14.9,50.28,64.72,83,30,5.99,MG,1596671051
271,Mount Gambier,-37.83,140.77,44.6,100,40,1.12,AU,1596671051
272,Mossamedes,-15.2,12.15,61.59,84,33,7.52,AO,1596671051
273,Severo-Kuril'sk,50.68,156.12,52.7,86,100,12.88,RU,1596671051
274,Lodja,-3.48,23.43,71.37,84,39,2.51,CD,1596671052
275,Muravlenko,63.79,74.52,59.0,63,5,6.13,RU,1596671052
276,Sidrolândia,-20.93,-54.96,73.4,28,0,9.17,BR,1596670940
277,Provideniya,64.38,-173.3,55.4,66,75,11.18,RU,1596671052
278,Teguise,29.06,-13.56,75.2,69,75,12.75,ES,1596671053
279,Khatanga,71.97,102.5,60.62,71,38,11.99,RU,1596671053
280,Yeppoon,-23.13,150.73,60.8,100,75,3.36,AU,1596671053
281,Businga,3.33,20.88,68.59,90,100,0.72,CD,1596671053
282,Yichang,30.71,111.28,84.51,78,79,1.32,CN,1596671054
283,Sitka,57.05,-135.33,55.4,87,90,3.36,US,1596671054
284,Narsaq,60.92,-46.05,50.0,66,43,5.82,GL,1596671054
285,Vágur,61.47,-6.81,51.89,89,27,18.34,FO,1596671054
286,Senno,59.53,33.92,52.59,89,83,1.79,RU,1596671054
287,Yerbogachën,61.28,108.01,65.28,65,40,7.92,RU,1596671055
288,Hualmay,-11.1,-77.61,59.99,83,11,9.73,PE,1596671055
289,Asău,46.43,26.4,55.0,95,0,3.76,RO,1596671055
290,Sabzawār,36.21,57.68,70.56,29,0,5.99,IR,1596671055
291,Peterhead,57.51,-1.8,61.0,93,75,2.24,GB,1596671056
292,Arraial do Cabo,-22.97,-42.03,69.6,74,0,14.81,BR,1596671056
293,Banjar,-8.19,114.97,75.2,100,75,3.36,ID,1596671056
294,Puerto Ayacucho,5.66,-67.62,77.25,84,11,1.99,VE,1596671056
295,Kāmāreddi,18.32,78.35,70.23,91,100,12.28,IN,1596671057
296,Chennai,13.09,80.28,84.2,66,40,8.05,IN,1596670789
297,Nhulunbuy,-12.23,136.77,80.6,74,75,6.93,AU,1596671057
298,Westport,41.14,-73.36,82.0,48,0,1.99,US,1596671037
